| EPOCH: 4 | Step 950 | Current loss: 888.0664 | Average patch-loss: 0.8257 |
| EPOCH: 4 | Step 1000 | Current loss: 895.4827 | Average patch-loss: 0.9150 |
| EPOCH: 4 | Step 1050 | Current loss: 1654.6147 | Average patch-loss: 1.0584 |
| EPOCH: 4 | Step 1100 | Current loss: 657.1077 | Average patch-loss: 0.9140 |
| EPOCH: 4 | Step 1150 | Current loss: 909.7450 | Average patch-loss: 1.1177 |
| EPOCH: 4 | Step 1200 | Current loss: 651.2601 | Average patch-loss: 0.9156 |
| EPOCH: 4 | Step 1250 | Current loss: 345.4288 | Average patch-loss: 0.9021 |
| EPOCH: 4 | Step 1300 | Current loss: 533.2258 | Average patch-loss: 0.9828 |
| EPOCH: 4 | Step 1350 | Current loss: 440.0100 | Average patch-loss: 0.7053 |
| EPOCH: 4 | Step 1400 | Current loss: 608.0208 | Average patch-loss: 0.8483 |
| EPOCH: 4 | Step 1450 | Current loss: 510.4775 | Average patch-loss: 0.7788 |
| EPOCH: 4 | Step 1500 | Current loss: 1245.3966 | Average patch-loss: 0.8718 |
| EPOCH: 4 | Step 1550 | Current loss: 649.7809 | Average patch-loss: 0.6894 |
1.0003601175864851 0.920350958806957 0.9006711499783921 0.8842063792825294
1.034958785072808 1.0177558848338297 0.9945923556874579 0.9841605559809641
| EPOCH: 5 | Step 50 | Current loss: 585.0249 | Average patch-loss: 0.7833 |
| EPOCH: 5 | Step 100 | Current loss: 672.8452 | Average patch-loss: 0.8865 |
| EPOCH: 5 | Step 150 | Current loss: 342.1210 | Average patch-loss: 0.8495 |
| EPOCH: 5 | Step 200 | Current loss: 736.4406 | Average patch-loss: 0.9299 |
| EPOCH: 5 | Step 250 | Current loss: 1123.5885 | Average patch-loss: 0.9707 |
| EPOCH: 5 | Step 300 | Current loss: 807.0887 | Average patch-loss: 0.9281 |
| EPOCH: 5 | Step 350 | Current loss: 328.7021 | Average patch-loss: 0.6994 |
| EPOCH: 5 | Step 400 | Current loss: 468.7822 | Average patch-loss: 0.9121 |
| EPOCH: 5 | Step 450 | Current loss: 562.6218 | Average patch-loss: 0.8134 |
| EPOCH: 5 | Step 500 | Current loss: 801.3576 | Average patch-loss: 0.9497 |
| EPOCH: 5 | Step 550 | Current loss: 513.8516 | Average patch-loss: 0.9279 |
| EPOCH: 5 | Step 600 | Current loss: 345.1721 | Average patch-loss: 0.8065 |
| EPOCH: 5 | Step 650 | Current loss: 527.3447 | Average patch-loss: 0.9174 |
| EPOCH: 5 | Step 700 | Current loss: 1736.1903 | Average patch-loss: 0.7956 |
| EPOCH: 5 | Step 750 | Current loss: 620.8711 | Average patch-loss: 0.8379 |
| EPOCH: 5 | Step 800 | Current loss: 803.4050 | Average patch-loss: 0.8681 |
| EPOCH: 5 | Step 850 | Current loss: 975.5814 | Average patch-loss: 0.8028 |
| EPOCH: 5 | Step 900 | Current loss: 992.6340 | Average patch-loss: 0.7367 |
| EPOCH: 5 | Step 950 | Current loss: 914.8029 | Average patch-loss: 0.8066 |
| EPOCH: 5 | Step 1000 | Current loss: 902.3714 | Average patch-loss: 0.9024 |
| EPOCH: 5 | Step 1050 | Current loss: 1671.5454 | Average patch-loss: 1.0498 |
| EPOCH: 5 | Step 1100 | Current loss: 614.7679 | Average patch-loss: 0.8954 |
| EPOCH: 5 | Step 1150 | Current loss: 882.1488 | Average patch-loss: 1.1020 |
| EPOCH: 5 | Step 1200 | Current loss: 656.5137 | Average patch-loss: 0.9053 |
| EPOCH: 5 | Step 1250 | Current loss: 331.8540 | Average patch-loss: 0.8858 |
| EPOCH: 5 | Step 1300 | Current loss: 535.6019 | Average patch-loss: 0.9629 |
| EPOCH: 5 | Step 1350 | Current loss: 454.6287 | Average patch-loss: 0.6931 |
| EPOCH: 5 | Step 1400 | Current loss: 645.0953 | Average patch-loss: 0.8472 |
| EPOCH: 5 | Step 1450 | Current loss: 518.3992 | Average patch-loss: 0.7595 |
| EPOCH: 5 | Step 1500 | Current loss: 1189.1508 | Average patch-loss: 0.8581 |
| EPOCH: 5 | Step 1550 | Current loss: 643.4246 | Average patch-loss: 0.6809 |
1.0003601175864851 0.920350958806957 0.9006711499783921 0.8842063792825294 0.8695670355348928
1.034958785072808 1.0177558848338297 0.9945923556874579 0.9841605559809641 0.9948089474236331
| EPOCH: 6 | Step 50 | Current loss: 549.4431 | Average patch-loss: 0.7731 |
| EPOCH: 6 | Step 100 | Current loss: 682.8064 | Average patch-loss: 0.8747 |
| EPOCH: 6 | Step 150 | Current loss: 328.0518 | Average patch-loss: 0.8337 |
| EPOCH: 6 | Step 200 | Current loss: 728.2381 | Average patch-loss: 0.9142 |
| EPOCH: 6 | Step 250 | Current loss: 1057.6207 | Average patch-loss: 0.9602 |
| EPOCH: 6 | Step 300 | Current loss: 819.4935 | Average patch-loss: 0.9000 |
| EPOCH: 6 | Step 350 | Current loss: 334.6322 | Average patch-loss: 0.6828 |
| EPOCH: 6 | Step 400 | Current loss: 456.4344 | Average patch-loss: 0.8982 |
| EPOCH: 6 | Step 450 | Current loss: 559.0320 | Average patch-loss: 0.8003 |
| EPOCH: 6 | Step 500 | Current loss: 787.0667 | Average patch-loss: 0.9383 |
| EPOCH: 6 | Step 550 | Current loss: 506.6188 | Average patch-loss: 0.9199 |
| EPOCH: 6 | Step 600 | Current loss: 334.9595 | Average patch-loss: 0.8044 |
| EPOCH: 6 | Step 650 | Current loss: 515.8071 | Average patch-loss: 0.8984 |
| EPOCH: 6 | Step 700 | Current loss: 1673.6301 | Average patch-loss: 0.7870 |
| EPOCH: 6 | Step 750 | Current loss: 545.8694 | Average patch-loss: 0.8207 |
| EPOCH: 6 | Step 800 | Current loss: 820.2180 | Average patch-loss: 0.8588 |
| EPOCH: 6 | Step 850 | Current loss: 929.5156 | Average patch-loss: 0.7982 |
| EPOCH: 6 | Step 900 | Current loss: 919.7086 | Average patch-loss: 0.7290 |
| EPOCH: 6 | Step 950 | Current loss: 947.4642 | Average patch-loss: 0.7924 |
| EPOCH: 6 | Step 1000 | Current loss: 935.8999 | Average patch-loss: 0.9028 |
| EPOCH: 6 | Step 1050 | Current loss: 1525.5973 | Average patch-loss: 1.0317 |
| EPOCH: 6 | Step 1100 | Current loss: 579.3798 | Average patch-loss: 0.8791 |
| EPOCH: 6 | Step 1150 | Current loss: 869.9764 | Average patch-loss: 1.0966 |
| EPOCH: 6 | Step 1200 | Current loss: 688.7004 | Average patch-loss: 0.8905 |
| EPOCH: 6 | Step 1250 | Current loss: 329.4761 | Average patch-loss: 0.8658 |
| EPOCH: 6 | Step 1300 | Current loss: 520.8699 | Average patch-loss: 0.9540 |
| EPOCH: 6 | Step 1350 | Current loss: 442.1013 | Average patch-loss: 0.6827 |
| EPOCH: 6 | Step 1400 | Current loss: 621.4488 | Average patch-loss: 0.8421 |
| EPOCH: 6 | Step 1450 | Current loss: 523.9625 | Average patch-loss: 0.7567 |
| EPOCH: 6 | Step 1500 | Current loss: 1147.6553 | Average patch-loss: 0.8495 |
| EPOCH: 6 | Step 1550 | Current loss: 645.2849 | Average patch-loss: 0.6707 |
1.0003601175864851 0.920350958806957 0.9006711499783921 0.8842063792825294 0.8695670355348928 0.8577844599360906
1.034958785072808 1.0177558848338297 0.9945923556874579 0.9841605559809641 0.9948089474236331 1.0138833668975793
| EPOCH: 7 | Step 50 | Current loss: 552.6874 | Average patch-loss: 0.7654 |
| EPOCH: 7 | Step 100 | Current loss: 679.2108 | Average patch-loss: 0.8648 |
| EPOCH: 7 | Step 150 | Current loss: 327.4858 | Average patch-loss: 0.8221 |
| EPOCH: 7 | Step 200 | Current loss: 677.4728 | Average patch-loss: 0.8940 |
| EPOCH: 7 | Step 250 | Current loss: 1008.6641 | Average patch-loss: 0.9428 |
| EPOCH: 7 | Step 300 | Current loss: 841.7569 | Average patch-loss: 0.8840 |
| EPOCH: 7 | Step 350 | Current loss: 330.6362 | Average patch-loss: 0.6738 |
| EPOCH: 7 | Step 400 | Current loss: 459.7324 | Average patch-loss: 0.8814 |
| EPOCH: 7 | Step 450 | Current loss: 561.1651 | Average patch-loss: 0.7989 |
| EPOCH: 7 | Step 500 | Current loss: 802.6570 | Average patch-loss: 0.9166 |
| EPOCH: 7 | Step 550 | Current loss: 499.2253 | Average patch-loss: 0.9079 |
| EPOCH: 7 | Step 600 | Current loss: 314.4593 | Average patch-loss: 0.8005 |
| EPOCH: 7 | Step 650 | Current loss: 505.4189 | Average patch-loss: 0.8909 |
| EPOCH: 7 | Step 700 | Current loss: 1627.6014 | Average patch-loss: 0.7790 |
| EPOCH: 7 | Step 750 | Current loss: 514.6870 | Average patch-loss: 0.8063 |
| EPOCH: 7 | Step 800 | Current loss: 838.0117 | Average patch-loss: 0.8464 |
| EPOCH: 7 | Step 850 | Current loss: 936.3148 | Average patch-loss: 0.7883 |
| EPOCH: 7 | Step 900 | Current loss: 893.1680 | Average patch-loss: 0.7193 |
| EPOCH: 7 | Step 950 | Current loss: 992.6215 | Average patch-loss: 0.7788 |
| EPOCH: 7 | Step 1000 | Current loss: 873.4281 | Average patch-loss: 0.8938 |
| EPOCH: 7 | Step 1050 | Current loss: 1447.1403 | Average patch-loss: 1.0162 |
| EPOCH: 7 | Step 1100 | Current loss: 510.4681 | Average patch-loss: 0.8562 |
| EPOCH: 7 | Step 1150 | Current loss: 873.9367 | Average patch-loss: 1.0806 |
| EPOCH: 7 | Step 1200 | Current loss: 686.9984 | Average patch-loss: 0.8828 |
| EPOCH: 7 | Step 1250 | Current loss: 329.4801 | Average patch-loss: 0.8677 |
| EPOCH: 7 | Step 1300 | Current loss: 513.1511 | Average patch-loss: 0.9430 |
| EPOCH: 7 | Step 1350 | Current loss: 426.9562 | Average patch-loss: 0.6792 |
| EPOCH: 7 | Step 1400 | Current loss: 567.3693 | Average patch-loss: 0.8149 |
| EPOCH: 7 | Step 1450 | Current loss: 515.3354 | Average patch-loss: 0.7493 |
| EPOCH: 7 | Step 1500 | Current loss: 1120.7915 | Average patch-loss: 0.8549 |
| EPOCH: 7 | Step 1550 | Current loss: 647.7772 | Average patch-loss: 0.6597 |
1.0003601175864851 0.920350958806957 0.9006711499783921 0.8842063792825294 0.8695670355348928 0.8577844599360906 0.8462176465172372
1.034958785072808 1.0177558848338297 0.9945923556874579 0.9841605559809641 0.9948089474236331 1.0138833668975793 1.0136750146294748
| EPOCH: 8 | Step 50 | Current loss: 543.2112 | Average patch-loss: 0.7537 |
| EPOCH: 8 | Step 100 | Current loss: 673.8550 | Average patch-loss: 0.8584 |
| EPOCH: 8 | Step 150 | Current loss: 333.0169 | Average patch-loss: 0.8104 |
| EPOCH: 8 | Step 200 | Current loss: 656.5161 | Average patch-loss: 0.8785 |
| EPOCH: 8 | Step 250 | Current loss: 981.4657 | Average patch-loss: 0.9307 |
| EPOCH: 8 | Step 300 | Current loss: 861.8160 | Average patch-loss: 0.8797 |
| EPOCH: 8 | Step 350 | Current loss: 321.0943 | Average patch-loss: 0.6669 |
| EPOCH: 8 | Step 400 | Current loss: 459.8958 | Average patch-loss: 0.8717 |
| EPOCH: 8 | Step 450 | Current loss: 561.1947 | Average patch-loss: 0.7913 |
| EPOCH: 8 | Step 500 | Current loss: 780.0148 | Average patch-loss: 0.8930 |
| EPOCH: 8 | Step 550 | Current loss: 497.1970 | Average patch-loss: 0.8978 |
| EPOCH: 8 | Step 600 | Current loss: 301.9149 | Average patch-loss: 0.7910 |
| EPOCH: 8 | Step 650 | Current loss: 496.0363 | Average patch-loss: 0.8733 |
| EPOCH: 8 | Step 700 | Current loss: 1656.6919 | Average patch-loss: 0.7740 |
| EPOCH: 8 | Step 750 | Current loss: 464.7191 | Average patch-loss: 0.7960 |
| EPOCH: 8 | Step 800 | Current loss: 833.9644 | Average patch-loss: 0.8387 |
| EPOCH: 8 | Step 850 | Current loss: 907.1743 | Average patch-loss: 0.7759 |
| EPOCH: 8 | Step 900 | Current loss: 876.2238 | Average patch-loss: 0.7134 |
| EPOCH: 8 | Step 950 | Current loss: 1004.4235 | Average patch-loss: 0.7705 |
| EPOCH: 8 | Step 1000 | Current loss: 845.7126 | Average patch-loss: 0.8794 |
| EPOCH: 8 | Step 1050 | Current loss: 1410.6691 | Average patch-loss: 1.0082 |
| EPOCH: 8 | Step 1100 | Current loss: 486.0101 | Average patch-loss: 0.8539 |
| EPOCH: 8 | Step 1150 | Current loss: 859.6421 | Average patch-loss: 1.0690 |
| EPOCH: 8 | Step 1200 | Current loss: 691.8492 | Average patch-loss: 0.8735 |
| EPOCH: 8 | Step 1250 | Current loss: 325.2479 | Average patch-loss: 0.8571 |
| EPOCH: 8 | Step 1300 | Current loss: 511.6139 | Average patch-loss: 0.9263 |
| EPOCH: 8 | Step 1350 | Current loss: 424.1024 | Average patch-loss: 0.6707 |
| EPOCH: 8 | Step 1400 | Current loss: 590.2386 | Average patch-loss: 0.8350 |
| EPOCH: 8 | Step 1450 | Current loss: 486.2654 | Average patch-loss: 0.7336 |
| EPOCH: 8 | Step 1500 | Current loss: 1199.3029 | Average patch-loss: 0.8460 |
| EPOCH: 8 | Step 1550 | Current loss: 628.7316 | Average patch-loss: 0.6560 |
1.0003601175864851 0.920350958806957 0.9006711499783921 0.8842063792825294 0.8695670355348928 0.8577844599360906 0.8462176465172372 0.8370323776528606
1.034958785072808 1.0177558848338297 0.9945923556874579 0.9841605559809641 0.9948089474236331 1.0138833668975793 1.0136750146294748 1.0119389572062958
| EPOCH: 9 | Step 50 | Current loss: 533.2927 | Average patch-loss: 0.7564 |
| EPOCH: 9 | Step 100 | Current loss: 672.6952 | Average patch-loss: 0.8429 |
| EPOCH: 9 | Step 150 | Current loss: 330.0780 | Average patch-loss: 0.8008 |
| EPOCH: 9 | Step 200 | Current loss: 643.9648 | Average patch-loss: 0.8673 |
| EPOCH: 9 | Step 250 | Current loss: 960.3777 | Average patch-loss: 0.9224 |
| EPOCH: 9 | Step 300 | Current loss: 866.5357 | Average patch-loss: 0.8696 |
| EPOCH: 9 | Step 350 | Current loss: 319.0404 | Average patch-loss: 0.6631 |
| EPOCH: 9 | Step 400 | Current loss: 458.0322 | Average patch-loss: 0.8489 |
| EPOCH: 9 | Step 450 | Current loss: 545.5082 | Average patch-loss: 0.7849 |
| EPOCH: 9 | Step 500 | Current loss: 763.1226 | Average patch-loss: 0.8741 |
| EPOCH: 9 | Step 550 | Current loss: 505.2130 | Average patch-loss: 0.8877 |
| EPOCH: 9 | Step 600 | Current loss: 297.3558 | Average patch-loss: 0.7872 |
| EPOCH: 9 | Step 650 | Current loss: 493.8967 | Average patch-loss: 0.8618 |
| EPOCH: 9 | Step 700 | Current loss: 1619.3878 | Average patch-loss: 0.7608 |
| EPOCH: 9 | Step 750 | Current loss: 447.6448 | Average patch-loss: 0.7879 |
| EPOCH: 9 | Step 800 | Current loss: 837.9728 | Average patch-loss: 0.8314 |
| EPOCH: 9 | Step 850 | Current loss: 934.1252 | Average patch-loss: 0.7618 |
| EPOCH: 9 | Step 900 | Current loss: 848.6954 | Average patch-loss: 0.7052 |
| EPOCH: 9 | Step 950 | Current loss: 976.3080 | Average patch-loss: 0.7562 |
| EPOCH: 9 | Step 1000 | Current loss: 816.1718 | Average patch-loss: 0.8821 |
| EPOCH: 9 | Step 1050 | Current loss: 1388.4243 | Average patch-loss: 1.0048 |
| EPOCH: 9 | Step 1100 | Current loss: 459.6645 | Average patch-loss: 0.8381 |
| EPOCH: 9 | Step 1150 | Current loss: 828.8224 | Average patch-loss: 1.0478 |
| EPOCH: 9 | Step 1200 | Current loss: 669.5298 | Average patch-loss: 0.8672 |
| EPOCH: 9 | Step 1250 | Current loss: 319.6772 | Average patch-loss: 0.8474 |
| EPOCH: 9 | Step 1300 | Current loss: 494.3909 | Average patch-loss: 0.9201 |
| EPOCH: 9 | Step 1350 | Current loss: 426.9115 | Average patch-loss: 0.6675 |
| EPOCH: 9 | Step 1400 | Current loss: 596.3965 | Average patch-loss: 0.8158 |
| EPOCH: 9 | Step 1450 | Current loss: 466.8740 | Average patch-loss: 0.7224 |
